TIPO DE PLANTA;¿Esta rota la hoja de la planta?;Milímetros Acumulado desde siembra;Coloración Hoja;Estación;Forma Lesión;¿Esta enferma?
ARROZ;1;100;Amarronada;Otoño;Ovalado;0
ARROZ;0;150;Amarilla;Otoño;Ovalado;0
ARROZ;1;70;Verde;Invierno;Circular;1
MAIZ;1;35;Rojiza;Otoño;Circular;1
MAIZ;1;0;Verde;Invierno;Ovalado;0
ARROZ;1;150;Amarronada;Verano;Longitudinal;1
MAIZ;1;15;Rojiza;Verano;Longitudinal;1
MAIZ;1;149;Amarronada;Verano;Circular;0
MAIZ;0;291;Amarronada;Otoño;Longitudinal;0
ARROZ;0;165;Amarronada;Invierno;Circular;1
ARROZ;0;119;Amarilla;Primavera;Circular;0
MAIZ;0;68;Verde;Verano;Longitudinal;0
ARROZ;1;42;Amarilla;Otoño;Ovalado;0
ARROZ;0;160;Amarilla;Verano;Longitudinal;0
ARROZ;0;140;Amarilla;Primavera;Circular;0
MAIZ;1;255;Verde;Primavera;Ovalado;1
ARROZ;1;198;Rojiza;Verano;Longitudinal;0
MAIZ;1;33;Amarilla;Primavera;Longitudinal;0
MAIZ;0;181;Amarilla;Primavera;Longitudinal;1
MAIZ;0;212;Amarilla;Otoño;Longitudinal;1
ARROZ;1;237;Amarilla;Otoño;Longitudinal;1
ARROZ;1;12;Verde;Otoño;Longitudinal;0
ARROZ;1;105;Verde;Otoño;Circular;0
ARROZ;1;96;Amarilla;Otoño;Ovalado;0
ARROZ;0;55;Rojiza;Verano;Circular;1
ARROZ;0;52;Amarilla;Verano;Circular;0
MAIZ;0;215;Verde;Otoño;Circular;1
ARROZ;0;266;Amarronada;Primavera;Longitudinal;1
MAIZ;1;280;Amarronada;Invierno;Longitudinal;1
MAIZ;0;276;Verde;Invierno;Circular;0
MAIZ;0;116;Verde;Invierno;Circular;0
MAIZ;1;271;Amarronada;Invierno;Circular;0
MAIZ;1;240;Verde;Otoño;Circular;0
ARROZ;0;7;Amarilla;Primavera;Ovalado;0
ARROZ;0;161;Rojiza;Otoño;Circular;0
ARROZ;0;238;Amarilla;Invierno;Circular;1
MAIZ;0;289;Rojiza;Otoño;Longitudinal;1
ARROZ;1;170;Verde;Otoño;Circular;1
MAIZ;0;175;Verde;Invierno;Ovalado;1
MAIZ;1;238;Amarilla;Invierno;Ovalado;1
MAIZ;0;242;Rojiza;Invierno;Longitudinal;1
MAIZ;1;22;Verde;Primavera;Longitudinal;0
ARROZ;0;209;Amarilla;Invierno;Circular;1
MAIZ;1;268;Verde;Otoño;Circular;0
ARROZ;1;77;Rojiza;Otoño;Circular;1
ARROZ;1;240;Verde;Otoño;Circular;0
ARROZ;0;7;Verde;Otoño;Longitudinal;0
ARROZ;0;242;Rojiza;Primavera;Circular;1
MAIZ;1;221;Rojiza;Invierno;Longitudinal;0
MAIZ;0;296;Amarronada;Invierno;Ovalado;1
MAIZ;1;101;Amarronada;Invierno;Longitudinal;0
ARROZ;0;103;Verde;Primavera;Circular;1
MAIZ;0;290;Amarronada;Invierno;Longitudinal;0
MAIZ;1;232;Rojiza;Primavera;Longitudinal;1
MAIZ;1;68;Amarilla;Primavera;Circular;0
ARROZ;0;141;Rojiza;Otoño;Circular;0
MAIZ;1;277;Amarronada;Verano;Ovalado;0
ARROZ;1;42;Verde;Primavera;Ovalado;1
MAIZ;1;44;Amarronada;Verano;Ovalado;0
ARROZ;1;179;Verde;Verano;Ovalado;0
ARROZ;0;145;Verde;Primavera;Circular;1
MAIZ;0;254;Amarronada;Invierno;Circular;0
ARROZ;1;74;Amarilla;Otoño;Ovalado;1
