TipoPlanta,Estacion,Milímetros Acum desde siembra,RotaAux,HojaRota,ColorHoja,FormaLesion,Enferma,Enferma bool
ARROZ,Primavera,96,P0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Invierno,36,I1,No,Verde,Circular,Enferma,1
ARROZ,Verano,109,V0,Si,Verde,Longitudinal,NoEnferma,0
MAIZ,Primavera,48,P1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Primavera,74,P1,Si,Amarronada,Longitudinal,Enferma,1
ARROZ,Invierno,30,I1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Invierno,33,I1,No,Amarronada,Ovalado,Enferma,1
ARROZ,Verano,105,V1,Si,Amarilla,NoLesion,Enferma,1
ARROZ,Invierno,39,I0,No,Amarilla,Circular,NoEnferma,0
MAIZ,Primavera,99,P0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Primavera,98,P1,Si,Rojiza,Longitudinal,Enferma,1
ARROZ,Otonio,36,O1,No,Verde,Circular,Enferma,1
MAIZ,Otonio,66,O1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Verano,95,V1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Otonio,47,O0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Invierno,34,I1,No,Amarronada,NoLesion,Enferma,1
ARROZ,Otonio,37,O0,No,Amarilla,NoLesion,NoEnferma,0
ARROZ,Invierno,34,I0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Primavera,88,P1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Otonio,45,O1,Si,Verde,Circular,Enferma,1
MAIZ,Otonio,46,O1,Si,Verde,NoLesion,Enferma,1
ARROZ,Invierno,31,I0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Otonio,82,O1,Si,Amarronada,Circular,Enferma,1
MAIZ,Otonio,91,O1,Si,Amarilla,Circular,Enferma,1
ARROZ,Otonio,125,O1,Si,Amarronada,NoLesion,Enferma,1
ARROZ,Invierno,33,I1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Verano,110,V0,No,Amarronada,NoLesion,NoEnferma,0
MAIZ,Verano,96,V0,Si,Rojiza,Longitudinal,NoEnferma,0
MAIZ,Verano,105,V1,Si,Verde,Ovalado,Enferma,1
MAIZ,Primavera,72,P0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Verano,104,V1,Si,Amarilla,Ovalado,Enferma,1
MAIZ,Otonio,104,O1,No,Rojiza,Longitudinal,Enferma,1
ARROZ,Verano,94,V0,Si,Rojiza,NoLesion,NoEnferma,0
MAIZ,Otonio,79,O1,Si,Amarronada,Circular,Enferma,1
ARROZ,Invierno,33,I0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Primavera,65,P0,Si,Verde,Circular,NoEnferma,0
MAIZ,Otonio,65,O1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Primavera,68,P0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Verano,107,V0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Otonio,41,O1,Si,Amarronada,Circular,Enferma,1
ARROZ,Invierno,38,I0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Verano,99,V0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,69,O1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Primavera,48,P1,Si,Rojiza,Longitudinal,Enferma,1
ARROZ,Invierno,36,I1,No,Amarilla,NoLesion,Enferma,1
ARROZ,Primavera,60,P1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Verano,110,V0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Primavera,89,P0,Si,Amarronada,Ovalado,NoEnferma,0
MAIZ,Otonio,118,O0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Otonio,101,O0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Primavera,63,P0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Otonio,66,O1,Si,Rojiza,Ovalado,Enferma,1
MAIZ,Otonio,119,O0,Si,Amarilla,Longitudinal,NoEnferma,0
ARROZ,Verano,93,V0,Si,Verde,Circular,NoEnferma,0
MAIZ,Otonio,44,O0,No,Verde,NoLesion,NoEnferma,0
MAIZ,Verano,97,V0,Si,Rojiza,NoLesion,NoEnferma,0
MAIZ,Verano,102,V1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Otonio,38,O1,Si,Verde,Longitudinal,Enferma,1
MAIZ,Otonio,115,O1,Si,Verde,Longitudinal,Enferma,1
MAIZ,Otonio,101,O0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Primavera,99,P0,No,Amarilla,NoLesion,NoEnferma,0
MAIZ,Otonio,84,O1,Si,Amarronada,Ovalado,Enferma,1
MAIZ,Verano,106,V1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Verano,107,V1,Si,Verde,NoLesion,Enferma,1
MAIZ,Verano,108,V0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Verano,106,V1,Si,Verde,Circular,Enferma,1
MAIZ,Invierno,38,I0,Si,Amarronada,NoLesion,NoEnferma,0
MAIZ,Invierno,40,I1,No,Amarronada,NoLesion,Enferma,1
ARROZ,Primavera,61,P0,Si,Amarronada,Longitudinal,NoEnferma,0
MAIZ,Verano,99,V0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Verano,96,V0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,100,O0,Si,Verde,NoLesion,NoEnferma,0
