TipoPlanta,Estacion,Milímetros Acum desde siembra,RotaAux,HojaRota,ColorHoja,FormaLesion,Enferma,Enferma bool
ARROZ,Otonio,105,O1,Si,Amarronada,Circular,Enferma,1
MAIZ,Invierno,32,I0,No,Amarronada,Ovalado,NoEnferma,0
MAIZ,Invierno,34,I1,Si,Verde,Longitudinal,Enferma,1
MAIZ,Otonio,111,O1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Verano,102,V1,Si,Verde,Ovalado,Enferma,1
ARROZ,Otonio,66,O0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Otonio,59,O1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Verano,106,V1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Verano,91,V1,Si,Verde,NoLesion,Enferma,1
MAIZ,Invierno,38,I0,No,Amarronada,Ovalado,NoEnferma,0
ARROZ,Primavera,97,P1,Si,Verde,Ovalado,Enferma,1
MAIZ,Invierno,34,I0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Invierno,32,I0,No,Verde,NoLesion,NoEnferma,0
ARROZ,Primavera,59,P0,Si,Amarronada,Ovalado,NoEnferma,0
MAIZ,Verano,98,V1,Si,Amarilla,Circular,Enferma,1
ARROZ,Primavera,67,P0,Si,Rojiza,NoLesion,NoEnferma,0
MAIZ,Primavera,78,P1,Si,Amarronada,NoLesion,Enferma,1
ARROZ,Primavera,73,P0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Invierno,39,I1,No,Amarronada,Ovalado,Enferma,1
MAIZ,Otonio,63,O0,Si,Rojiza,Circular,NoEnferma,0
MAIZ,Invierno,37,I0,Si,Amarilla,Ovalado,NoEnferma,0
ARROZ,Verano,90,V1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Otonio,84,O0,Si,Rojiza,NoLesion,NoEnferma,0
ARROZ,Primavera,60,P0,Si,Rojiza,Longitudinal,NoEnferma,0
ARROZ,Invierno,31,I0,Si,Amarilla,NoLesion,NoEnferma,0
ARROZ,Primavera,72,P1,Si,Rojiza,Circular,Enferma,1
ARROZ,Invierno,35,I0,No,Rojiza,NoLesion,NoEnferma,0
ARROZ,Verano,98,V0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Invierno,37,I0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Primavera,76,P1,Si,Amarilla,Circular,Enferma,1
MAIZ,Verano,106,V0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Invierno,35,I1,Si,Amarronada,NoLesion,Enferma,1
MAIZ,Otonio,130,O0,No,Amarilla,Circular,NoEnferma,0
MAIZ,Verano,93,V0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Primavera,72,P1,No,Rojiza,NoLesion,Enferma,1
MAIZ,Primavera,71,P1,Si,Verde,Ovalado,Enferma,1
ARROZ,Otonio,78,O0,Si,Rojiza,Ovalado,NoEnferma,0
ARROZ,Invierno,40,I1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Primavera,98,P1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Otonio,59,O1,Si,Verde,Longitudinal,Enferma,1
ARROZ,Invierno,34,I1,No,Verde,NoLesion,Enferma,1
ARROZ,Otonio,56,O1,Si,Rojiza,Longitudinal,Enferma,1
ARROZ,Invierno,37,I0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Invierno,33,I1,Si,Rojiza,Circular,Enferma,1
ARROZ,Otonio,94,O1,No,Verde,Ovalado,Enferma,1
MAIZ,Primavera,51,P1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Primavera,54,P1,Si,Rojiza,NoLesion,Enferma,1
ARROZ,Otonio,41,O1,No,Amarronada,NoLesion,Enferma,1
MAIZ,Otonio,39,O0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Verano,92,V1,Si,Amarilla,Ovalado,Enferma,1
ARROZ,Verano,101,V0,Si,Rojiza,Circular,NoEnferma,0
MAIZ,Invierno,39,I1,No,Rojiza,Ovalado,Enferma,1
MAIZ,Verano,107,V1,Si,Verde,NoLesion,Enferma,1
MAIZ,Invierno,34,I0,Si,Verde,Ovalado,NoEnferma,0
ARROZ,Verano,102,V0,Si,Amarronada,Circular,NoEnferma,0
MAIZ,Verano,103,V0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Verano,109,V1,Si,Amarilla,NoLesion,Enferma,1
MAIZ,Invierno,35,I0,Si,Verde,Longitudinal,NoEnferma,0
ARROZ,Verano,106,V0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Invierno,32,I0,No,Amarilla,NoLesion,NoEnferma,0
MAIZ,Primavera,79,P0,Si,Amarronada,NoLesion,NoEnferma,0
MAIZ,Primavera,54,P0,Si,Amarronada,NoLesion,NoEnferma,0
ARROZ,Otonio,111,O1,Si,Rojiza,NoLesion,Enferma,1
MAIZ,Otonio,73,O1,Si,Rojiza,Circular,Enferma,1
ARROZ,Otonio,46,O0,Si,Amarilla,Longitudinal,NoEnferma,0
MAIZ,Primavera,57,P1,Si,Amarilla,Longitudinal,Enferma,1
ARROZ,Primavera,48,P1,Si,Amarronada,Circular,Enferma,1
ARROZ,Primavera,46,P1,Si,Rojiza,Ovalado,Enferma,1
ARROZ,Verano,97,V1,Si,Amarilla,Longitudinal,Enferma,1
MAIZ,Verano,99,V0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Otonio,108,O1,Si,Amarilla,Circular,Enferma,1
ARROZ,Verano,94,V1,Si,Verde,Ovalado,Enferma,1
MAIZ,Otonio,125,O0,Si,Rojiza,NoLesion,NoEnferma,0
MAIZ,Verano,100,V1,Si,Amarronada,Ovalado,Enferma,1
ARROZ,Otonio,67,O0,No,Verde,NoLesion,NoEnferma,0
MAIZ,Invierno,33,I1,No,Rojiza,Circular,Enferma,1
MAIZ,Verano,97,V1,Si,Rojiza,Circular,Enferma,1
ARROZ,Primavera,92,P0,Si,Rojiza,NoLesion,NoEnferma,0
MAIZ,Otonio,120,O1,Si,Amarilla,Circular,Enferma,1
ARROZ,Invierno,30,I0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Primavera,94,P0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Primavera,65,P0,Si,Verde,NoLesion,NoEnferma,0
MAIZ,Primavera,96,P0,No,Verde,Circular,NoEnferma,0
MAIZ,Verano,100,V0,Si,Rojiza,Circular,NoEnferma,0
ARROZ,Invierno,32,I0,No,Verde,NoLesion,NoEnferma,0
MAIZ,Primavera,72,P0,Si,Amarilla,NoLesion,NoEnferma,0
MAIZ,Invierno,40,I0,No,Amarilla,NoLesion,NoEnferma,0
ARROZ,Otonio,45,O1,Si,Amarilla,Circular,Enferma,1
MAIZ,Primavera,86,P0,No,Amarronada,NoLesion,NoEnferma,0
MAIZ,Otonio,110,O0,Si,Verde,Longitudinal,NoEnferma,0
ARROZ,Otonio,98,O1,Si,Amarilla,Ovalado,Enferma,1
MAIZ,Verano,97,V0,No,Rojiza,NoLesion,NoEnferma,0
ARROZ,Primavera,96,P0,Si,Amarronada,Longitudinal,NoEnferma,0
MAIZ,Invierno,32,I1,Si,Verde,NoLesion,Enferma,1
MAIZ,Primavera,97,P1,Si,Verde,NoLesion,Enferma,1
MAIZ,Primavera,48,P1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Verano,106,V1,Si,Verde,Ovalado,Enferma,1
MAIZ,Verano,107,V0,Si,Verde,NoLesion,NoEnferma,0
ARROZ,Otonio,121,O0,Si,Amarronada,Circular,NoEnferma,0
ARROZ,Invierno,31,I1,No,Amarronada,Circular,Enferma,1
MAIZ,Otonio,110,O1,No,Amarronada,Circular,Enferma,1
ARROZ,Verano,105,V1,Si,Rojiza,Longitudinal,Enferma,1
MAIZ,Invierno,40,I0,No,Amarronada,NoLesion,NoEnferma,0
ARROZ,Invierno,32,I1,Si,Amarilla,Longitudinal,Enferma,1
ARROZ,Invierno,36,I1,No,Verde,NoLesion,Enferma,1
ARROZ,Otonio,100,O1,Si,Amarilla,Longitudinal,Enferma,1
ARROZ,Invierno,31,I0,No,Amarronada,NoLesion,NoEnferma,0
MAIZ,Primavera,45,P1,Si,Rojiza,Ovalado,Enferma,1
ARROZ,Primavera,83,P0,Si,Verde,Circular,NoEnferma,0
ARROZ,Verano,109,V1,Si,Amarronada,Circular,Enferma,1
MAIZ,Primavera,66,P1,Si,Amarilla,NoLesion,Enferma,1
MAIZ,Verano,105,V0,Si,Amarilla,Circular,NoEnferma,0
ARROZ,Primavera,57,P1,Si,Amarronada,Longitudinal,Enferma,1
MAIZ,Otonio,107,O1,Si,Amarilla,Longitudinal,Enferma,1
MAIZ,Primavera,86,P1,Si,Rojiza,Circular,Enferma,1
